pmid,author,position
38329117,Sis G,2
38329117,Nickerson B,3
38329117,Wiebe A,4
38329117,Claas H,5
50621889,Jordan E,1
50621889,Wiebe A,2
50621889,Nickerson B,3
50621889,Tambur F,4
50621889,Duquesnoy G,5
69762583,Rabant M,1
69762583,Claas H,2
69762583,Lefaucheur D,3
69762583,Nickerson B,4
69762583,Wiebe A,5
75243366,Loupy C,1
75243366,Wiebe A,2
75243366,Lefaucheur D,3
75243366,Nickerson B,4
75243366,Gaston S,5
62394739,Meier-Kriesche V,1
62394739,Nickerson B,2
62394739,Wiebe A,3
62394739,Duquesnoy G,4
62394739,Mooney G,5
62394739,Lefaucheur D,6
67796900,Wiebe A,1
67796900,Nickerson B,2
67796900,Rabant M,3
67796900,Stegall R,4
67796900,Morelon S,5
85493830,Wiebe A,1
85493830,Reed M,2
85493830,Nickerson B,3
10884169,Wiebe A,1
10884169,Bray L,2
10884169,Loupy C,3
10884169,Lefaucheur D,4
58556533,Montgomery P,1
58556533,Wiebe A,2
98632237,Loupy C,1
98632237,Bray L,2
98632237,Nickerson B,3
98632237,Wiebe A,4
14962052,Jordan E,1
14962052,Loupy C,2
14962052,Dubois T,3
70228445,Nickerson B,1
70228445,Claas H,2
70228445,Wiebe A,3
70228445,Loupy C,4
73921605,Nickerson B,1
73921605,Wiebe A,2
73921605,Tambur F,3
31050667,Jordan E,1
31050667,Wiebe A,2
31050667,Lefaucheur D,3
31050667,Nickerson B,4
74582407,Loupy C,1
74582407,Wiebe A,2
74582407,Nickerson B,3
74582407,Tambur F,4
74582407,Gebel K,5
74582407,Caillard V,6
94571826,Wiebe A,1
94571826,Nickerson B,2
94571826,Kaplan T,3
94571826,Meier-Kriesche V,4
94571826,Duquesnoy G,5
94571826,Loupy C,6
94571826,Heidt J,7
94571826,Jordan E,8
13228867,Randhawa E,1
13228867,Wiebe A,2
44619354,Wiebe A,1
44619354,Tambur F,2
43059986,Wiebe A,1
43059986,Nickerson B,2
43059986,Tambur F,3
43059986,Meier-Kriesche V,4
43059986,Lefaucheur D,5
43059986,Moulin A,6
43059986,Loupy C,7
43059986,Thaunat R,8
61023340,Nickerson B,1
61023340,Duquesnoy G,2
61023340,Reed M,3
53169555,Nickerson B,1
53169555,Tambur F,2
53169555,Loupy C,3
53169555,Wiebe A,4
53169555,Lefaucheur D,5
53169555,Colvin F,6
69670203,Legendre P,1
69670203,Loupy C,2
18730772,Wiebe A,1
18730772,Nickerson B,2
18730772,Tambur F,3
18730772,Duquesnoy G,4
18730772,Jordan E,5
18730772,Loupy C,6
86748329,Wiebe A,1
86748329,Nickerson B,2
86748329,Loupy C,3
86748329,Jordan E,4
86748329,Duquesnoy G,5
14475312,Wiebe A,1
14475312,Stegall R,2
14475312,Gebel K,3
14475312,Jordan E,4
14475312,Loupy C,5
88894973,Jordan E,1
88894973,Wiebe A,2
88894973,Nickerson B,3
51766978,Wiebe A,1
51766978,Morelon S,2
87632976,Nickerson B,1
87632976,Tambur F,2
87632976,Claas H,3
58034735,Nickerson B,1
58034735,Wiebe A,2
58034735,Loupy C,3
58034735,Einecke C,4
28420515,Wiebe A,1
28420515,Nickerson B,2
28420515,Solez J,3
28420515,Montgomery P,4
28420515,Loupy C,5
28420515,Tambur F,6
95381661,Wiebe A,1
95381661,Lefaucheur D,2
95381661,Duquesnoy G,3
60181152,Nickerson B,1
60181152,Halloran A,2
60181152,Wiebe A,3
60181152,Duquesnoy G,4
60181152,Loupy C,5
60181152,Lefaucheur D,6
64888712,Nickerson B,1
64888712,Wiebe A,2
64888712,Lefaucheur D,3
64888712,Loupy C,4
83286377,Halloran A,1
83286377,Tambur F,2
83286377,Lefaucheur D,3
83286377,Wiebe A,4
83286377,Duquesnoy G,5
83286377,Taupin D,6
83286377,Bagnasco L,7
83286377,Kaplan T,8
88786294,Heidt J,1
88786294,Wiebe A,2
88786294,Claas H,3
53765651,Nickerson B,1
53765651,Wiebe A,2
53765651,Randhawa E,3
61793831,Wiebe A,1
61793831,Lefaucheur D,2
61793831,Loupy C,3
27439215,Nickerson B,1
27439215,Wiebe A,2
27439215,Lefaucheur D,3
27439215,Claas H,4
27439215,Duquesnoy G,5
27439215,Tambur F,6
49922892,Wiebe A,1
49922892,Kaplan T,2
49922892,Lefaucheur D,3
49922892,Duquesnoy G,4
49922892,Nickerson B,5
49922892,Zachary N,6
20272170,Wiebe A,1
20272170,Nickerson B,2
20272170,Bray L,3
68750274,Wiebe A,1
68750274,Nickerson B,2
68750274,Gebel K,3
68750274,Loupy C,4
16531664,Wiebe A,1
16531664,Loupy C,2
16531664,Nickerson B,3
12012537,Nickerson B,1
12012537,Moulin A,2
12012537,Lefaucheur D,3
12012537,Duquesnoy G,4
12012537,Kaplan T,5
12012537,Wiebe A,6
53534095,Loupy C,1
53534095,Wiebe A,2
53534095,Tambur F,3
53534095,Taupin D,4
42688154,Lefaucheur D,1
42688154,Wiebe A,2
42688154,Nickerson B,3
42688154,Gebel K,4
42688154,Stegall R,5
42688154,Duquesnoy G,6
42688154,Bertrand B,7
42688154,Bray L,8
54462343,Einecke C,1
54462343,Wiebe A,2
54462343,Taupin D,3
54462343,Sis G,4
41717008,Solez J,1
41717008,Wiebe A,2
12658997,Wiebe A,1
12658997,Nickerson B,2
12658997,Tambur F,3
12658997,Loupy C,4
12658997,Lefaucheur D,5
61544630,Loupy C,1
61544630,Nickerson B,2
61544630,Wiebe A,3
61544630,Lefaucheur D,4
42528051,Jordan E,1
42528051,Nickerson B,2
32256467,Lefaucheur D,1
32256467,Gaston S,2
32256467,Wiebe A,3
66081482,Wiebe A,1
66081482,Heidt J,2
60697866,Morelon S,1
60697866,Wiebe A,2
60697866,Lefaucheur D,3
60697866,Nickerson B,4
60697866,Heidt J,5
55235396,Heidt J,1
55235396,Wiebe A,2
59449823,Jordan E,1
59449823,Wiebe A,2
59449823,Racusen H,3
59449823,Sis G,4
59449823,Loupy C,5
79800523,Wiebe A,1
79800523,Racusen H,2
79800523,Duquesnoy G,3
13922081,Loupy C,1
13922081,Wiebe A,2
13922081,Heidt J,3
13922081,Gebel K,4
13922081,Lefaucheur D,5
25583513,Nickerson B,1
25583513,Wiebe A,2
25583513,Jordan E,3
25583513,Duquesnoy G,4
99301859,Wiebe A,1
99301859,Zachary N,2
99301859,Nickerson B,3
99301859,Bray L,4
99301859,Gaston S,5
99301859,Heidt J,6
99301859,Loupy C,7
99301859,Colvin F,8
12894515,Wiebe A,1
12894515,Bray L,2
87464756,Wiebe A,1
87464756,Morelon S,2
87464756,Nickerson B,3
87464756,Loupy C,4
87464756,Garrigue C,5
87464756,Bray L,6
87464756,Heidt J,7
87464756,Caillard V,8
42327067,Nickerson B,1
42327067,Lefaucheur D,2
46738721,Wiebe A,1
46738721,Duquesnoy G,2
46738721,Loupy C,3
46738721,Montgomery P,4
98393430,Wiebe A,1
98393430,Nickerson B,2
98393430,Lefaucheur D,3
98393430,Dubois T,4
98393430,Loupy C,5
98393430,Garrigue C,6
75826121,Nickerson B,1
75826121,Loupy C,2
75826121,Wiebe A,3
81927860,Wiebe A,1
81927860,Nickerson B,2
39826611,Lefaucheur D,1
39826611,Wiebe A,2
39826611,Reed M,3
39826611,Duquesnoy G,4
98256603,Wiebe A,1
98256603,Loupy C,2
98256603,Haas K,3
98256603,Halloran A,4
22098465,Nickerson B,1
22098465,Wiebe A,2
22098465,Loupy C,3
22098465,Jordan E,4
22098465,Mengel D,5
80265183,Wiebe A,1
80265183,Lefaucheur D,2
80265183,Gebel K,3
80265183,Nickerson B,4
80265183,Jordan E,5
80265183,Loupy C,6
80265183,Duquesnoy G,7
80265183,Einecke C,8
96298460,Wiebe A,1
96298460,Loupy C,2
96298460,Nickerson B,3
96298460,Heidt J,4
34452059,Wiebe A,1
34452059,Nickerson B,2
34452059,Jordan E,3
99416497,Wiebe A,1
99416497,Nickerson B,2
99416497,Gebel K,3
43252079,Nickerson B,1
43252079,Wiebe A,2
43252079,Suberbielle E,3
43252079,Claas H,4
43252079,Heidt J,5
15149455,Wiebe A,1
15149455,Nickerson B,2
15149455,Lefaucheur D,3
15149455,Jordan E,4
15149455,Duquesnoy G,5
67835429,Wiebe A,1
67835429,Loupy C,2
67835429,Sellares B,3
67835429,Nickerson B,4
67835429,Montgomery P,5
20050169,Claas H,1
20050169,Reed M,2
20050169,Haas K,3
20050169,Gebel K,4
20050169,Wiebe A,5
20050169,Tambur F,6
80298247,Wiebe A,1
80298247,Heidt J,2
80298247,Loupy C,3
80298247,Reed M,4
80298247,Lefaucheur D,5
80298247,Nickerson B,6
80298247,Tambur F,7
80298247,Jordan E,8
49777260,Wiebe A,1
49777260,Reed M,2
49777260,Lefaucheur D,3
49777260,Nickerson B,4
49777260,Jordan E,5
21173109,Wiebe A,1
21173109,Tambur F,2
21173109,Gaston S,3
97754868,Nickerson B,1
97754868,Wiebe A,2
97754868,Tambur F,3
51629000,Wiebe A,1
51629000,Loupy C,2
90481940,Loupy C,1
90481940,Nickerson B,2
13221342,Nickerson B,1
13221342,Wiebe A,2
13221342,Racusen H,3
13221342,Sis G,4
67529530,Claas H,1
67529530,Bagnasco L,2
67529530,Jordan E,3
67529530,Wiebe A,4
67529530,Nickerson B,5
67529530,Tambur F,6
87556758,Jordan E,1
87556758,Wiebe A,2
87556758,Reed M,3
87556758,Tambur F,4
76719940,Nickerson B,1
76719940,Wiebe A,2
76719940,Loupy C,3
76719940,Haas K,4
42547451,Duquesnoy G,1
42547451,Heidt J,2
20602300,Wiebe A,1
20602300,Nickerson B,2
20602300,Loupy C,3
20602300,Bray L,4
20602300,Gebel K,5
84377548,Haas K,1
84377548,Nickerson B,2
84377548,Wiebe A,3
84377548,Gebel K,4
84377548,Tambur F,5
84377548,Heidt J,6
13764654,Morelon S,1
13764654,Nickerson B,2
63436961,Claas H,1
63436961,Wiebe A,2
63436961,Nickerson B,3
63436961,Jordan E,4
63436961,Colvin F,5
77326285,Wiebe A,1
77326285,Jordan E,2
77326285,Nickerson B,3
77326285,Loupy C,4
83435357,Wiebe A,1
83435357,Lefaucheur D,2
83435357,Nickerson B,3
83435357,Randhawa E,4
83435357,Gebel K,5
83435357,Loupy C,6
63813150,Wiebe A,1
63813150,Reed M,2
63813150,Nickerson B,3
63813150,Halloran A,4
63813150,Lefaucheur D,5
24645711,Wiebe A,1
24645711,Tambur F,2
24645711,Loupy C,3
66763408,Wiebe A,1
66763408,Halloran A,2
66763408,Loupy C,3
66763408,Gebel K,4
66763408,Nickerson B,5
66763408,Tambur F,6
31567333,Wiebe A,1
31567333,Bray L,2
31567333,Tambur F,3
31567333,Nickerson B,4
23078988,Wiebe A,1
23078988,Loupy C,2
23078988,Montgomery P,3
23078988,Nickerson B,4
82808690,Loupy C,1
82808690,Lefaucheur D,2
82808690,Halloran A,3
82808690,Zachary N,4
82808690,Wiebe A,5
22031000,Claas H,1
22031000,Sellares B,2
22031000,Wiebe A,3
42420888,Wiebe A,1
42420888,Nickerson B,2
42420888,Haas K,3
42420888,Jordan E,4
42420888,Rabant M,5
64105718,Nickerson B,1
64105718,Loupy C,2
64105718,Wiebe A,3
64105718,Zachary N,4
27521857,Nickerson B,1
27521857,Loupy C,2
27521857,Wiebe A,3
27521857,Lefaucheur D,4
27521857,Heidt J,5
27521857,Zachary N,6
27521857,Jordan E,7
27521857,Claas H,8
58505926,Wiebe A,1
58505926,Loupy C,2
58505926,Mengel D,3
58505926,Duquesnoy G,4
92410355,Wiebe A,1
92410355,Nickerson B,2
92410355,Bray L,3
36741208,Wiebe A,1
36741208,Bray L,2
36741208,Jordan E,3
36741208,Nickerson B,4
36741208,Loupy C,5
36741208,Gaston S,6
36741208,Claas H,7
36741208,Duquesnoy G,8
60192126,Wiebe A,1
60192126,Nickerson B,2
60192126,Loupy C,3
60192126,Tambur F,4
54140102,Wiebe A,1
54140102,Loupy C,2
54140102,Nickerson B,3
54140102,Meier-Kriesche V,4
54140102,Claas H,5
54140102,Suberbielle E,6
48257007,Wiebe A,1
48257007,Loupy C,2
48257007,Nickerson B,3
48257007,Gaston S,4
13930993,Loupy C,1
13930993,Wiebe A,2
20071990,Loupy C,1
20071990,Nickerson B,2
20071990,Wiebe A,3
20071990,Claas H,4
20071990,Duquesnoy G,5
98514011,Lefaucheur D,1
98514011,Nickerson B,2
98514011,Wiebe A,3
98514011,Anglicheau N,4
98514011,Reed M,5
98514011,Gebel K,6
70724380,Lefaucheur D,1
70724380,Wiebe A,2
70724380,Sellares B,3
70724380,Nickerson B,4
70724380,Loupy C,5
70724380,Montgomery P,6
83860588,Wiebe A,1
83860588,Nickerson B,2
83860588,Jordan E,3
83860588,Heidt J,4
83860588,Duquesnoy G,5
16693632,Wiebe A,1
16693632,Nickerson B,2
16693632,Reed M,3
16693632,Einecke C,4
16693632,Lefaucheur D,5
56658526,Wiebe A,1
56658526,Rabant M,2
56658526,Tambur F,3
56658526,Loupy C,4
20331687,Wiebe A,1
20331687,Nickerson B,2
20331687,Loupy C,3
20331687,Tambur F,4
99041184,Wiebe A,1
99041184,Lefaucheur D,2
99041184,Nickerson B,3
99041184,Montgomery P,4
99041184,Moulin A,5
95729393,Nickerson B,1
95729393,Lefaucheur D,2
95729393,Heidt J,3
76964850,Nickerson B,1
76964850,Wiebe A,2
76964850,Lefaucheur D,3
48019256,Gaston S,1
48019256,Wiebe A,2
33260196,Wiebe A,1
33260196,Gaston S,2
33260196,Loupy C,3
33260196,Nickerson B,4
71912488,Duquesnoy G,1
71912488,Wiebe A,2
17294228,Wiebe A,1
17294228,Nickerson B,2
25395963,Legendre P,1
25395963,Tambur F,2
25395963,Duquesnoy G,3
25395963,Nickerson B,4
34804490,Wiebe A,1
34804490,Duquesnoy G,2
34804490,Nickerson B,3
34804490,Jordan E,4
34804490,Tambur F,5
85726861,Claas H,1
85726861,Wiebe A,2
85726861,Sellares B,3
85726861,Lefaucheur D,4
57226789,Nickerson B,1
57226789,Kaplan T,2
57226789,Tambur F,3
57226789,Wiebe A,4
57226789,Loupy C,5
88449352,Montgomery P,1
88449352,Jordan E,2
88449352,Wiebe A,3
88449352,Meier-Kriesche V,4
88449352,Claas H,5
88449352,Loupy C,6
92128314,Wiebe A,1
92128314,Lefaucheur D,2
92128314,Claas H,3
92128314,Nickerson B,4
92128314,Montgomery P,5
10702802,Wiebe A,1
10702802,Loupy C,2
10702802,Lefaucheur D,3
76936024,Claas H,1
76936024,Gaston S,2
76936024,Nickerson B,3
76936024,Wiebe A,4
76936024,Loupy C,5
45014869,Wiebe A,1
45014869,Caillard V,2
45014869,Solez J,3
45014869,Jordan E,4
45014869,Tambur F,5
45014869,Nickerson B,6
46307023,Wiebe A,1
46307023,Jordan E,2
46307023,Loupy C,3
46307023,Heidt J,4
46307023,Nickerson B,5
46307023,Claas H,6
26809078,Wiebe A,1
26809078,Heidt J,2
17604050,Wiebe A,1
17604050,Duquesnoy G,2
17604050,Reed M,3
17604050,Halloran A,4
17604050,Stegall R,5
17604050,Loupy C,6
17604050,Nickerson B,7
17604050,Tambur F,8
42776746,Nickerson B,1
42776746,Wiebe A,2
42776746,Bray L,3
42776746,Stegall R,4
97229186,Claas H,1
97229186,Wiebe A,2
97229186,Nickerson B,3
97229186,Loupy C,4
17014171,Lefaucheur D,1
17014171,Wiebe A,2
17014171,Nickerson B,3
17014171,Tambur F,4
17014171,Montgomery P,5
86276344,Nickerson B,1
86276344,Wiebe A,2
86276344,Lefaucheur D,3
26684124,Wiebe A,1
26684124,Jordan E,2
26684124,Nickerson B,3
26684124,Loupy C,4
26684124,Lefaucheur D,5
26684124,Sellares B,6
26684124,Claas H,7
26684124,Bagnasco L,8
15167621,Wiebe A,1
15167621,Loupy C,2
15167621,Jordan E,3
15167621,Nickerson B,4
91465696,Tambur F,1
91465696,Nickerson B,2
91465696,Jordan E,3
91465696,Wiebe A,4
91465696,Heidt J,5
85887023,Wiebe A,1
85887023,Bray L,2
85887023,Dubois T,3
85887023,Nickerson B,4
85887023,Lefaucheur D,5
85887023,Moulin A,6
85887023,Reed M,7
85887023,Tambur F,8
97688458,Nickerson B,1
97688458,Wiebe A,2
97688458,Tambur F,3
97688458,Mengel D,4
45349744,Wiebe A,1
45349744,Loupy C,2
45349744,Montgomery P,3
70364921,Wiebe A,1
70364921,Nickerson B,2
70364921,Bray L,3
70364921,Lefaucheur D,4
55783977,Wiebe A,1
55783977,Lefaucheur D,2
55783977,Jordan E,3
55783977,Duquesnoy G,4
55783977,Nickerson B,5
55783977,Loupy C,6
55783977,Tambur F,7
55783977,Gebel K,8
99447205,Meier-Kriesche V,1
99447205,Nickerson B,2
99447205,Jordan E,3
49586388,Wiebe A,1
49586388,Tambur F,2
49586388,Lefaucheur D,3
49586388,Reed M,4
35554877,Wiebe A,1
35554877,Gaston S,2
35554877,Haas K,3
95592608,Wiebe A,1
95592608,Kaplan T,2
25544987,Jordan E,1
25544987,Wiebe A,2
25544987,Gebel K,3
25544987,Nickerson B,4
25544987,Lefaucheur D,5
25544987,Tambur F,6
39386729,Wiebe A,1
39386729,Duquesnoy G,2
39386729,Einecke C,3
39386729,Gebel K,4
39386729,Lefaucheur D,5
39386729,Tambur F,6
31071231,Nickerson B,1
31071231,Tambur F,2
31071231,Wiebe A,3
31071231,Lefaucheur D,4
97949650,Wiebe A,1
97949650,Loupy C,2
97949650,Jordan E,3
97949650,Nickerson B,4
97949650,Tambur F,5
85295643,Wiebe A,1
85295643,Jordan E,2
85295643,Tambur F,3
80250319,Nickerson B,1
80250319,Wiebe A,2
80250319,Thaunat R,3
80250319,Lefaucheur D,4
80250319,Duquesnoy G,5
31755769,Wiebe A,1
31755769,Loupy C,2
31755769,Lefaucheur D,3
31755769,Nickerson B,4
59879577,Lefaucheur D,1
59879577,Wiebe A,2
59879577,Nickerson B,3
10751945,Wiebe A,1
10751945,Tambur F,2
10751945,Colvin F,3
10751945,Nickerson B,4
10751945,Kaplan T,5
59294789,Jordan E,1
59294789,Wiebe A,2
59294789,Gebel K,3
59294789,Lefaucheur D,4
59294789,Nickerson B,5
53397675,Nickerson B,1
53397675,Wiebe A,2
53397675,Tambur F,3
53397675,Duquesnoy G,4
95063153,Wiebe A,1
95063153,Jordan E,2
95063153,Kaplan T,3
95063153,Randhawa E,4
54084020,Stegall R,1
54084020,Suberbielle E,2
54084020,Nickerson B,3
54084020,Wiebe A,4
54084020,Tambur F,5
54084020,Einecke C,6
17522634,Nickerson B,1
17522634,Sellares B,2
17522634,Wiebe A,3
17522634,Kaplan T,4
17522634,Heidt J,5
17522634,Loupy C,6
17522634,Einecke C,7
17522634,Duquesnoy G,8
15973820,Gaston S,1
15973820,Wiebe A,2
